observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,freqLow,freqHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
86896MD01_016K_M04_multi_20180712_153000Z.aif_3983,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_153000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.549293,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_153000Z.aif_3990,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_153000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.577616,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_153000Z.aif_4004,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_153000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.548018,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_153000Z.aif_4011,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_153000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.506743,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_154500Z.aif_4050,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_154500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.598086,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_154500Z.aif_4148,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_154500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.522786,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_160000Z.aif_4154,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_160000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.523266,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_160000Z.aif_4202,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_160000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.509314,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_161500Z.aif_4292,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_161500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.524396,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_164500Z.aif_4491,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_164500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.556193,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_184500Z.aif_4562,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_184500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.510924,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_191500Z.aif_4577,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_191500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.592542,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_191500Z.aif_4578,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_191500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.52591,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_210000Z.aif_4717,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_210000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.562227,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_174500Z.aif_4872,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_174500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.503538,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_181500Z.aif_4882,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_181500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.515603,1-4-f,parm file = FW2O_p25.mat
