observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,freqLow,freqHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
86896MD01_016K_M04_multi_20180715_171500Z.aif_5813,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_171500Z.aif,,364212.451975,364218.268025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.506196,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_171500Z.aif_5815,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_171500Z.aif,,364282.331975,364288.148025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.521397,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_193000Z.aif_5936,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_193000Z.aif,,371724.995975,371730.812025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.502914,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_193000Z.aif_5937,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_193000Z.aif,,371732.419975,371738.236025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.587506,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_193000Z.aif_5950,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_193000Z.aif,,372390.011975,372395.828025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.557525,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_194500Z.aif_5961,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_194500Z.aif,,372818.771978,372824.588028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.563551,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_194500Z.aif_5971,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_194500Z.aif,,373361.171978,373366.988028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.594080,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180719_161500Z.aif_6201,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180719_161500Z.aif,,706187.627971,706193.444021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.544272,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_014500Z.aif_6300,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_014500Z.aif,,740070.987978,740076.804028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.516512,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_020000Z.aif_6331,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_020000Z.aif,,740707.843971,740713.660021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.524219,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_020000Z.aif_6362,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_020000Z.aif,,740887.027971,740892.844021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.595807,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_020000Z.aif_6425,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_020000Z.aif,,741245.899971,741251.716021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.521938,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_021500Z.aif_6557,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_021500Z.aif,,741993.595975,741999.412025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.646100,1-4-f,parm file = FW2O_p25.mat
