observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,frequencyLow,frequencyHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,classificationConfirmation,observationTags,observationComments
86896MD01_016K_M04_multi_20180712_160000Z.aif_4246,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_160000Z.aif,,100642.656263,100647.119743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.561341,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_161500Z.aif_4308,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_161500Z.aif,,101232.416256,101236.879736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.657908,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_163000Z.aif_4359,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_163000Z.aif,,101722.344260,101726.807740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.531499,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_193000Z.aif_4625,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_193000Z.aif,,112977.043975,112982.860025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.512515,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_203000Z.aif_4682,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_203000Z.aif,,116729.091978,116734.908028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.563974,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_231500Z.aif_4755,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_231500Z.aif,,126184.211975,126190.028025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.551385,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_210000Z.aif_4967,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_210000Z.aif,,204576.619975,204582.436025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.610844,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_224500Z.aif_5090,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_224500Z.aif,,210728.667978,210734.484028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.501267,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_010000Z.aif_5119,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_010000Z.aif,,218778.603149,218782.660859,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.545390,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_143000Z.aif_5287,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_143000Z.aif,,267766.291978,267772.108028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.543573,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_144500Z.aif_5302,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_144500Z.aif,,268214.755971,268220.572021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.621524,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_174500Z.aif_5429,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_174500Z.aif,,279185.747971,279191.564021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.528787,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_180000Z.aif_5460,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_180000Z.aif,,280147.435975,280153.252025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.581274,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_180000Z.aif_5461,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_180000Z.aif,,280170.731975,280176.548025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.518485,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_070000Z.aif_5615,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_070000Z.aif,,327359.811978,327365.628028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.537144,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_071500Z.aif_5630,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_071500Z.aif,,328376.531971,328382.348021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.512313,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_170000Z.aif_5799,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_170000Z.aif,,363452.979971,363458.796021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.515995,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180716_223000Z.aif_6117,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180716_223000Z.aif,,469405.059145,469409.116855,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.509957,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180718_121500Z.aif_6134,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180718_121500Z.aif,,604949.651978,604955.468028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.513690,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180719_194500Z.aif_6227,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180719_194500Z.aif,,718471.755978,718477.572028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.522590,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_020000Z.aif_6372,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_020000Z.aif,,740945.387971,740951.204021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.545208,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_020000Z.aif_6398,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_020000Z.aif,,741056.227971,741062.044021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.569176,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_021500Z.aif_6499,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_021500Z.aif,,741703.579975,741709.396025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.509537,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_021500Z.aif_6640,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_021500Z.aif,,742416.979975,742422.796025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.500677,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_023000Z.aif_6786,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_023000Z.aif,,743003.667978,743009.484028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.503326,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_024500Z.aif_7101,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_024500Z.aif,,744283.275971,744289.092021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.543184,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_030000Z.aif_7173,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_030000Z.aif,,744495.987975,744501.804025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.628620,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_030000Z.aif_7293,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_030000Z.aif,,744887.883975,744893.700025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.560140,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180720_031500Z.aif_7380,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180720_031500Z.aif,,745358.611978,745364.428028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.576294,,1-4-f,parm file = FW2O_p25.mat
